9.0,945.0,944.0
9.0,944.0,895.0
9.0,895.0,858.0
9.0,858.0,854.0
9.0,854.0,813.0
9.0,813.0,773.0
9.0,773.0,772.0
9.0,772.0,755.0
9.0,755.0,754.0
9.0,754.0,752.0
9.0,752.0,749.0
9.0,749.0,714.0
9.0,714.0,678.0
9.0,678.0,642.0
9.0,642.0,604.0
9.0,604.0,570.0
9.0,570.0,566.0
9.0,566.0,531.0
9.0,531.0,495.0
9.0,495.0,459.0
9.0,459.0,420.0
9.0,420.0,384.0
9.0,384.0,346.0
9.0,346.0,345.0
9.0,345.0,310.0
9.0,310.0,277.0
9.0,277.0,246.0
9.0,246.0,212.0
9.0,212.0,180.0
9.0,180.0,150.0
9.0,150.0,121.0
9.0,121.0,91.0
9.0,91.0,61.0
9.0,61.0,40.0
9.0,40.0,24.0
9.0,24.0,13.0
9.0,13.0,5.0
8.0,1.0,2.0
8.0,2.0,7.0
8.0,7.0,14.0
8.0,14.0,26.0
8.0,26.0,42.0
8.0,42.0,47.0
8.0,47.0,70.0
8.0,70.0,101.0
8.0,101.0,131.0
8.0,131.0,161.0
8.0,161.0,189.0
8.0,189.0,219.0
8.0,219.0,252.0
8.0,252.0,284.0
8.0,284.0,317.0
8.0,317.0,354.0
8.0,354.0,368.0
8.0,368.0,403.0
8.0,403.0,440.0
8.0,440.0,479.0
8.0,479.0,515.0
8.0,515.0,550.0
8.0,550.0,588.0
8.0,588.0,626.0
8.0,626.0,629.0
8.0,629.0,662.0
8.0,662.0,697.0
8.0,697.0,730.0
8.0,730.0,733.0
8.0,733.0,771.0
8.0,771.0,809.0
8.0,809.0,812.0
8.0,812.0,853.0
8.0,853.0,892.0
8.0,892.0,894.0
8.0,894.0,928.0
8.0,928.0,929.0
8.0,929.0,936.0
8.0,936.0,940.0
8.0,940.0,941.0
8.0,941.0,939.0
8.0,939.0,938.0
8.0,938.0,937.0
8.0,937.0,942.0
8.0,942.0,945.0
7.0,388.0,366.0
7.0,366.0,329.0
7.0,329.0,327.0
7.0,327.0,294.0
7.0,294.0,290.0
7.0,290.0,258.0
7.0,258.0,225.0
7.0,225.0,193.0
7.0,193.0,183.0
7.0,183.0,154.0
7.0,154.0,124.0
7.0,124.0,94.0
7.0,94.0,64.0
7.0,64.0,46.0
7.0,46.0,30.0
7.0,30.0,17.0
7.0,17.0,9.0
7.0,9.0,4.0
7.0,4.0,3.0
7.0,3.0,1.0
6.0,1400.0,1381.0
6.0,1381.0,1362.0
6.0,1362.0,1340.0
6.0,1340.0,1316.0
6.0,1316.0,1288.0
6.0,1288.0,1258.0
6.0,1258.0,1226.0
6.0,1226.0,1192.0
6.0,1192.0,1153.0
6.0,1153.0,1109.0
6.0,1109.0,1064.0
6.0,1064.0,1017.0
6.0,1017.0,967.0
6.0,967.0,917.0
6.0,917.0,878.0
6.0,878.0,837.0
6.0,837.0,794.0
6.0,794.0,756.0
6.0,756.0,717.0
6.0,717.0,682.0
6.0,682.0,647.0
6.0,647.0,611.0
6.0,611.0,573.0
6.0,573.0,536.0
6.0,536.0,499.0
6.0,499.0,463.0
6.0,463.0,425.0
6.0,425.0,388.0
5.0,1836.0,1819.0
5.0,1819.0,1803.0
5.0,1803.0,1787.0
5.0,1787.0,1771.0
5.0,1771.0,1755.0
5.0,1755.0,1740.0
5.0,1740.0,1725.0
5.0,1725.0,1710.0
5.0,1710.0,1695.0
5.0,1695.0,1679.0
5.0,1679.0,1664.0
5.0,1664.0,1648.0
5.0,1648.0,1636.0
5.0,1636.0,1619.0
5.0,1619.0,1602.0
5.0,1602.0,1587.0
5.0,1587.0,1572.0
5.0,1572.0,1558.0
5.0,1558.0,1544.0
5.0,1544.0,1527.0
5.0,1527.0,1510.0
5.0,1510.0,1495.0
5.0,1495.0,1480.0
5.0,1480.0,1464.0
5.0,1464.0,1448.0
